Course Code,Course Name,Course Type,Course Status,Country/Territory,Course Skill,Priority,Training Provider,Managed Type,Delivery Tool Platform,Display Course Type,Specialization,Course Hours,Estimated Housing,Estimated Transportation,Estimated Tuition,Estimated Other,Year,Main Domain,Classes
678500,MS eAccent Bootcamp,Classroom,Cancelled,France,-,Discretionary,Accenture - Classroom,Central,-,Classroom,-,0.0,0.0,0.0,0.0,0.0,2021,Cross Accenture,Class 6
678500,MS eAccent Bootcamp,Classroom,Cancelled,France,-,Discretionary,Accenture - Classroom,Central,-,Classroom,-,0.0,0.0,0.0,0.0,0.0,2021,Cross Accenture,Class 6
678500,MS eAccent Bootcamp,Classroom,Cancelled,France,-,Discretionary,Accenture - Classroom,Central,-,Classroom,-,0.0,0.0,0.0,0.0,0.0,2022,Cross Accenture,Class 8
678500,MS eAccent Bootcamp,Classroom,Cancelled,France,-,Discretionary,Accenture - Classroom,Central,-,Classroom,-,0.0,0.0,0.0,0.0,0.0,2022,Cross Accenture,Class 8
678500,MS eAccent Bootcamp,Classroom,Cancelled,Mauritius,-,Discretionary,Accenture - Classroom,Central,-,Classroom,-,0.0,0.0,0.0,0.0,0.0,2020,Cross Accenture,Class 0
678500,MS eAccent Bootcamp,Classroom,Cancelled,Mauritius,-,Discretionary,Accenture - Classroom,Central,-,Classroom,-,0.0,0.0,0.0,0.0,0.0,2020,Cross Accenture,Class 0
A00178,Bootcamp SAP PP (Production Planning),Classroom,Cancelled,France,-,Discretionary,Accenture Local,Local,Live Meeting,Classroom,-,35.0,0.0,0.0,0.0,0.0,2019,IPS,Class 1
A00178,Bootcamp SAP PP (Production Planning),Classroom,Cancelled,France,-,Discretionary,Accenture Local,Local,Live Meeting,Classroom,-,35.0,0.0,0.0,0.0,0.0,2019,IPS,Class 1
A00178,Bootcamp SAP PP (Production Planning),Classroom,Cancelled,France,-,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,35.0,0.0,0.0,0.0,0.0,2020,IPS,Class 4
A00178,Bootcamp SAP PP (Production Planning),Classroom,Cancelled,France,-,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,35.0,0.0,0.0,0.0,0.0,2020,IPS,Class 4
A00178,Bootcamp SAP PP (Production Planning),Classroom,Cancelled,France,-,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,35.0,1750.0,750.0,0.0,0.0,2021,IPS,Class 5
A00178,Bootcamp SAP PP (Production Planning),Classroom,Cancelled,France,-,Discretionary,Accenture Local,Local,MS Teams,Virtual,-,35.0,1750.0,750.0,0.0,0.0,2021,IPS,Class 5
A00705,TOULOUSE ONLY - SAP PP,Classroom,Cancelled,France,SAP PP Demand management,Discretionary,Accenture Local,Local,Live Meeting,Classroom,SAP Production Planning,2.0,0.0,0.0,0.0,0.0,2020,IPS,Class 1
A00794,MD Momentum – Year 2,Classroom,Active,France,Leadership Development,Discretionary,Accenture Central,Central,MS Teams,Virtual,"Organization, Leadership & Culture",27.0,0.0,0.0,1500.0,0.0,2021,Leadership Development,Class 3
A00884,TOULOUSE ONLY - SAP MM,Classroom,Cancelled,France,SAP MM Inventory Management,Discretionary,Accenture Local,Local,MS Teams,Virtual,SAP Inventory,2.0,0.0,0.0,0.0,0.0,2021,IPS,Class 0
A01068,TOULOUSE ONLY - SAP Closure,Classroom,Cancelled,France,SAP Project System (PS),Discretionary,Accenture Local,Local,MS Teams,Virtual,SAP Product Lifecycle Mgmt,2.0,0.0,0.0,0.0,0.0,2020,IPS,Class 1
A01209,Digital LDP - Virtual,Classroom,Cancelled,France,Design Thinking,Discretionary,Hyper Island,Central,MS Teams,Virtual,-,16.0,0.0,0.0,850.0,0.0,2020,IPS,Class 1
A01356,Leader as Coach Virtual Program,Classroom,Active,France,Coaching,Discretionary,Accenture Central,Central,MS Teams,Virtual,-,12.0,0.0,0.0,12.5,0.0,2021,Leadership Development,Class 10
A01356,Leader as Coach Virtual Program,Classroom,Active,France,Coaching,Discretionary,Accenture Central,Central,MS Teams,Virtual,-,12.0,0.0,0.0,12.5,0.0,2021,Leadership Development,Class 10
A01533,Rainmakers Wave 1: Cloud First Strategy (Live),Classroom,Active,France,Cloud Strategy and Assessment,Discretionary,Accenture Central,Central,MS Teams,Virtual,Cloud Application Advisory,6.0,0.0,0.0,280.0,0.0,2021,Cloud First,Class 3
A01533,Rainmakers Wave 1: Cloud First Strategy (Live),Classroom,Active,France,Cloud Strategy and Assessment,Discretionary,Accenture Central,Central,MS Teams,Virtual,Cloud Application Advisory,6.0,0.0,0.0,280.0,0.0,2021,Cloud First,Class 3
