Name_Model,Score,High_Encoder,Low_Encoder
adaboost,0.15962082569578087,basen,basen
adaboost,0.1571806444213262,label,label
adaboost,0.16006926553784714,minhash,onehot
adaboost,1.0,basen,minhash
adaboost,0.16504161266637904,label,basen
adaboost,0.15240101857231841,minhash,label
adaboost,0.1521647910321624,basen,onehot
adaboost,0.15147096681105157,label,minhash
adaboost,0.13689536298968613,minhash,basen
adaboost,0.13503202429075922,basen,label
adaboost,0.11696316305456557,label,onehot
adaboost,0.1248022205735662,minhash,minhash
