Name_Model,Score,High_Encoder,Low_Encoder
adaboost,18.78754778809394,basen,basen
adaboost,18.13216821409066,label,label
adaboost,18.67831785909339,minhash,onehot
adaboost,100.0,basen,minhash
adaboost,18.67831785909339,label,basen
adaboost,17.039868924085198,minhash,label
adaboost,15.94756963407974,basen,onehot
adaboost,17.039868924085198,label,minhash
adaboost,14.145275805570726,minhash,basen
adaboost,14.309120699071546,basen,label
adaboost,10.704533042053523,label,onehot
adaboost,13.708356089568541,minhash,minhash
