Name_Model,Score,High_Encoder,Low_Encoder
decisiontree,0.13122285514433302,basen,basen
decisiontree,0.12569425382693497,label,onehot
decisiontree,0.11153477284668444,similarity,label
decisiontree,1.0,minhash,minhash
decisiontree,0.1233012356402658,basen,basen
decisiontree,0.12790555083443172,label,onehot
decisiontree,0.12604281758335895,similarity,label
decisiontree,0.14725254373284058,minhash,minhash
decisiontree,0.08807754020154875,basen,basen
decisiontree,0.09777099911897774,label,onehot
decisiontree,0.09611135072777152,similarity,label
decisiontree,0.10602760976550342,minhash,minhash
decisiontree,0.08292888524271527,basen,basen
decisiontree,0.09063207928598103,label,onehot
decisiontree,0.09108410687554894,similarity,label
decisiontree,0.09593432431554345,minhash,minhash
