,Name_Model,Score,High_Encoder,Low_Encoder
0,adaboost,18.78754778809394,basen,basen
1,svc,18.569087930092845,label,label
2,adaboost,18.67831785909339,minhash,onehot
3,adaboost,100.0,basen,minhash
4,svc,20.480611687602405,label,basen
5,svc,20.42599672310213,minhash,label
6,svc,20.42599672310213,basen,onehot
7,svc,18.569087930092845,label,minhash
8,svc,20.75368651010377,minhash,basen
9,svc,20.75368651010377,basen,label
10,svc,20.75368651010377,label,onehot
11,svc,18.569087930092845,minhash,minhash
