Name_Model,Score,High_Encoder,Low_Encoder
randomforestclassifier,0.1609191321991502,basen,basen
randomforestclassifier,0.1570744609154845,label,label
randomforestclassifier,0.15466029342027085,minhash,onehot
randomforestclassifier,1.0,basen,minhash
randomforestclassifier,0.15842561395992547,label,basen
randomforestclassifier,0.1603280854350424,minhash,label
randomforestclassifier,0.14593157951700944,basen,onehot
randomforestclassifier,0.15164196300759447,label,minhash
randomforestclassifier,0.14108833718039962,minhash,basen
randomforestclassifier,0.14594931725397986,basen,label
randomforestclassifier,0.13859743825233062,label,onehot
randomforestclassifier,0.12658973247897518,minhash,minhash
