Name_Model,Score,High_Encoder,Low_Encoder
svc,0.13643786770905086,basen,basen
svc,0.13643786770905086,label,onehot
svc,0.13643786770905086,similarity,label
svc,0.941982608799199,minhash,minhash
svc,0.12119363299260381,basen,basen
svc,0.1204706663047481,label,onehot
svc,0.1208714775187753,similarity,label
svc,0.06974732150904644,minhash,minhash
svc,0.1361492626974457,basen,basen
svc,0.13643786770905086,label,onehot
svc,0.1361492626974457,similarity,label
svc,0.06974732150904644,minhash,minhash
svc,0.07133786407814956,basen,basen
svc,0.07133786407814956,label,onehot
svc,0.07133786407814956,similarity,label
svc,0.06974732150904644,minhash,minhash
