Name_Model,Score,High_Encoder,Low_Encoder,Pair_Encoders
linearregression,80609.24349449006,basen,basen,basen + basen
ridgeregression,78843.63277177239,label,onehot,label + onehot
linearregression,80576.89850178076,similarity,label,similarity + label
ridgeregression,0.0048981031764303,minhash,similarity,minhash + similarity
linearregression,6.9286260083862e-13,gap,minhash,gap + minhash
ridgeregression,4.984274515503088,basen,gap,basen + gap
linearregression,82610.6825564507,label,basen,label + basen
ridgeregression,80396.51393786022,similarity,onehot,similarity + onehot
linearregression,82805.44495686737,minhash,label,minhash + label
ridgeregression,79694.31939338578,gap,similarity,gap + similarity
linearregression,79348.85306824803,basen,minhash,basen + minhash
linearregression,79092.67912057086,label,gap,label + gap
linearregression,84070.58076295906,similarity,basen,similarity + basen
ridgeregression,81403.34480188943,minhash,onehot,minhash + onehot
linearregression,84355.1763764863,gap,label,gap + label
linearregression,80303.26110984203,basen,similarity,basen + similarity
linearregression,79965.84403373954,label,minhash,label + minhash
linearregression,79678.14379345282,similarity,gap,similarity + gap
linearregression,84196.62166273392,minhash,basen,minhash + basen
ridgeregression,81466.26655126308,gap,onehot,gap + onehot
linearregression,84456.24579008194,basen,label,basen + label
ridgeregression,80441.33250584539,label,similarity,label + similarity
linearregression,80041.58977725789,similarity,minhash,similarity + minhash
linearregression,79648.3399875134,minhash,gap,minhash + gap
linearregression,83971.01070464797,gap,basen,gap + basen
ridgeregression,81259.60191670201,basen,onehot,basen + onehot
linearregression,84331.80447933216,label,label,label + label
ridgeregression,80179.1868988123,similarity,similarity,similarity + similarity
linearregression,79822.5978045275,minhash,minhash,minhash + minhash
linearregression,79530.08124450545,gap,gap,gap + gap
