Name_Model,Score,High_Encoder,Low_Encoder,Pair_Encoders
randomforestregressor,0.3630828913783721,basen,basen,basen + basen
randomforestregressor,0.3741349688926854,label,onehot,label + onehot
randomforestregressor,0.3702078050638989,similarity,label,similarity + label
linearregression,1.0,minhash,similarity,minhash + similarity
linearregression,1.0,gap,minhash,gap + minhash
linearregression,1.0,basen,gap,basen + gap
randomforestregressor,0.4454290737065808,label,basen,label + basen
randomforestregressor,0.4092200529012254,similarity,onehot,similarity + onehot
randomforestregressor,0.426643694329,minhash,label,minhash + label
randomforestregressor,0.4552166615957751,gap,similarity,gap + similarity
randomforestregressor,0.4638902192620791,basen,minhash,basen + minhash
randomforestregressor,0.4555088023349321,label,gap,label + gap
randomforestregressor,0.3270971475002551,similarity,basen,similarity + basen
randomforestregressor,0.3436528242592801,minhash,onehot,minhash + onehot
randomforestregressor,0.3336419730714692,gap,label,gap + label
randomforestregressor,0.4479557760520766,basen,similarity,basen + similarity
randomforestregressor,0.4461099032532519,label,minhash,label + minhash
randomforestregressor,0.4524235466664308,similarity,gap,similarity + gap
randomforestregressor,0.3976055536659461,minhash,basen,minhash + basen
randomforestregressor,0.3786494574342955,gap,onehot,gap + onehot
randomforestregressor,0.4185599284301428,basen,label,basen + label
randomforestregressor,0.4177201014486158,label,similarity,label + similarity
randomforestregressor,0.4205435081689606,similarity,minhash,similarity + minhash
randomforestregressor,0.4046915579576562,minhash,gap,minhash + gap
randomforestregressor,0.4706743799096967,gap,basen,gap + basen
randomforestregressor,0.4706350969494266,basen,onehot,basen + onehot
randomforestregressor,0.4613699914111216,label,label,label + label
randomforestregressor,0.514959327937846,similarity,similarity,similarity + similarity
randomforestregressor,0.522889095603428,minhash,minhash,minhash + minhash
randomforestregressor,0.5241957367608188,gap,gap,gap + gap
randomforestregressor,0.5160431289271841,onehot,basen,onehot + basen
randomforestregressor,0.5291190581144634,onehot,onehot,onehot + onehot
randomforestregressor,0.5341977140904377,onehot,label,onehot + label
randomforestregressor,0.5232050199652887,onehot,similarity,onehot + similarity
randomforestregressor,0.5173631616983212,onehot,minhash,onehot + minhash
randomforestregressor,0.5324065956516586,onehot,gap,onehot + gap
