Name_Model,Score,High_Encoder,Low_Encoder,Pair_Encoders
linearregression,283.91767027518745,basen,basen,basen + basen
ridgeregression,280.79108385376554,label,onehot,label + onehot
linearregression,283.8607026373689,similarity,label,similarity + label
ridgeregression,0.06998644994876008,minhash,similarity,minhash + similarity
linearregression,8.32383686071886e-07,gap,minhash,gap + minhash
ridgeregression,2.2325488831161318,basen,gap,basen + gap
linearregression,287.42074134698544,label,basen,label + basen
ridgeregression,283.54279031190373,similarity,onehot,similarity + onehot
linearregression,287.75935250981394,minhash,label,minhash + label
ridgeregression,282.30182322008795,gap,similarity,gap + similarity
linearregression,281.6892846173742,basen,minhash,basen + minhash
linearregression,281.2342068820414,label,gap,label + gap
linearregression,289.9492727408694,similarity,basen,similarity + basen
ridgeregression,285.3127140558048,minhash,onehot,minhash + onehot
linearregression,290.43962604384114,gap,label,gap + label
linearregression,283.3783003510361,basen,similarity,basen + similarity
linearregression,282.78232624005966,label,minhash,label + minhash
linearregression,282.27317228786166,similarity,gap,similarity + gap
linearregression,290.1665412530086,minhash,basen,minhash + basen
ridgeregression,285.4229607989923,gap,onehot,gap + onehot
linearregression,290.61356780109554,basen,label,basen + label
ridgeregression,283.62181246484795,label,similarity,label + similarity
linearregression,282.916223955534,similarity,minhash,similarity + minhash
linearregression,282.2203748624706,minhash,gap,minhash + gap
linearregression,289.777519322407,gap,basen,gap + basen
ridgeregression,285.06069865329033,basen,onehot,basen + onehot
linearregression,290.3993878769929,label,label,label + label
ridgeregression,283.1592959780983,similarity,similarity,similarity + similarity
linearregression,282.5289326857118,minhash,minhash,minhash + minhash
linearregression,282.01078214228875,gap,gap,gap + gap
linearregression,16995320383.57326,onehot,basen,onehot + basen
linearregression,61662925894.642525,onehot,onehot,onehot + onehot
linearregression,9467882814.8421,onehot,label,onehot + label
linearregression,2636853424.3908257,onehot,similarity,onehot + similarity
linearregression,8355.172626781068,onehot,minhash,onehot + minhash
linearregression,7225577977.658493,onehot,gap,onehot + gap
